crime_type,crime_category
ARSON,Property Crime
ASSAULT WITH DEADLY WEAPON ON POLICE OFFICER,Weapon-related Crime
"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",Weapon-related Crime
ATTEMPTED ROBBERY,Violent Crime
BATTERY - SIMPLE ASSAULT,Violent Crime
BATTERY ON A FIREFIGHTER,Violent Crime
BATTERY POLICE (SIMPLE),Violent Crime
BATTERY WITH SEXUAL CONTACT,Sexual Crime
"BEASTIALITY, CRIME AGAINST NATURE SEXUAL ASSLT WITH ANIM",Sexual Crime
BIGAMY,Other Crime
BIKE - ATTEMPTED STOLEN,Vehicle-related Crime
BIKE - STOLEN,Vehicle-related Crime
BLOCKING DOOR INDUCTION CENTER,Other Crime
BOAT - STOLEN,Vehicle-related Crime
BOMB SCARE,Weapon-related Crime
BRANDISH WEAPON,Weapon-related Crime
BRIBERY,Other Crime
"BUNCO, ATTEMPT",Financial Crime
"BUNCO, GRAND THEFT",Financial Crime
"BUNCO, PETTY THEFT",Financial Crime
BURGLARY,Property Crime
BURGLARY FROM VEHICLE,Vehicle-related Crime
"BURGLARY FROM VEHICLE, ATTEMPTED",Vehicle-related Crime
"BURGLARY, ATTEMPTED",Property Crime
CHILD ABANDONMENT,Other Crime
CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,Violent Crime
CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,Violent Crime
CHILD ANNOYING (17YRS & UNDER),Sexual Crime
CHILD NEGLECT (SEE 300 W.I.C.),Violent Crime
CHILD PORNOGRAPHY,Sexual Crime
CHILD STEALING,Other Crime
CONSPIRACY,Other Crime
CONTEMPT OF COURT,Public Order Crime
CONTRIBUTING,Other Crime
COUNTERFEIT,Financial Crime
"CREDIT CARDS, FRAUD USE ($950 & UNDER",Financial Crime
"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",Financial Crime
CRIMINAL HOMICIDE,Violent Crime
CRIMINAL THREATS - NO WEAPON DISPLAYED,Weapon-related Crime
CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),Other Crime
CRUELTY TO ANIMALS,Other Crime
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, $950 & UNDER",Financial Crime
"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",Financial Crime
DISCHARGE FIREARMS/SHOTS FIRED,Weapon-related Crime
DISHONEST EMPLOYEE - GRAND THEFT,Property Crime
DISHONEST EMPLOYEE - PETTY THEFT,Property Crime
DISHONEST EMPLOYEE ATTEMPTED THEFT,Property Crime
DISRUPT SCHOOL,Other Crime
DISTURBING THE PEACE,Public Order Crime
DOCUMENT FORGERY / STOLEN FELONY,Financial Crime
DOCUMENT WORTHLESS ($200 & UNDER),Other Crime
DOCUMENT WORTHLESS ($200.01 & OVER),Other Crime
DRIVING WITHOUT OWNER CONSENT (DWOC),Vehicle-related Crime
"DRUGS, TO A MINOR",Other Crime
DRUNK ROLL,Other Crime
"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",Financial Crime
"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",Financial Crime
EXTORTION,Financial Crime
FAILURE TO DISPERSE,Public Order Crime
FAILURE TO YIELD,Other Crime
FALSE IMPRISONMENT,Other Crime
FALSE POLICE REPORT,Other Crime
FIREARMS EMERGENCY PROTECTIVE ORDER (FIREARMS EPO),Weapon-related Crime
FIREARMS RESTRAINING ORDER (FIREARMS RO),Weapon-related Crime
GRAND THEFT / AUTO REPAIR,Property Crime
GRAND THEFT / INSURANCE FRAUD,Financial Crime
HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,Sexual Crime
HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,Other Crime
ILLEGAL DUMPING,Other Crime
INCEST (SEXUAL ACTS BETWEEN BLOOD RELATIVES),Sexual Crime
INCITING A RIOT,Other Crime
INDECENT EXPOSURE,Sexual Crime
INTIMATE PARTNER - AGGRAVATED ASSAULT,Violent Crime
INTIMATE PARTNER - SIMPLE ASSAULT,Violent Crime
KIDNAPPING,Violent Crime
KIDNAPPING - GRAND ATTEMPT,Violent Crime
"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",Sexual Crime
LEWD CONDUCT,Sexual Crime
LEWD/LASCIVIOUS ACTS WITH CHILD,Sexual Crime
LYNCHING,Other Crime
LYNCHING - ATTEMPTED,Other Crime
"MANSLAUGHTER, NEGLIGENT",Violent Crime
ORAL COPULATION,Sexual Crime
OTHER ASSAULT,Violent Crime
OTHER MISCELLANEOUS CRIME,Other Crime
PANDERING,Other Crime
PEEPING TOM,Sexual Crime
PETTY THEFT - AUTO REPAIR,Property Crime
PICKPOCKET,Property Crime
"PICKPOCKET, ATTEMPT",Property Crime
PIMPING,Other Crime
PROWLER,Other Crime
PURSE SNATCHING,Property Crime
PURSE SNATCHING - ATTEMPT,Property Crime
"RAPE, ATTEMPTED",Sexual Crime
"RAPE, FORCIBLE",Sexual Crime
RECKLESS DRIVING,Vehicle-related Crime
"REPLICA FIREARMS(SALE,DISPLAY,MANUFACTURE OR DISTRIBUTE)",Weapon-related Crime
RESISTING ARREST,Public Order Crime
